user_id,variant,clicks,sessions,day
277,control,2,8,11
278,control,1,7,12
279,control,1,9,13
280,control,1,13,14
281,control,1,9,1
282,control,1,9,2
283,control,0,10,3
284,control,1,8,4
285,control,1,8,5
286,control,0,9,6
287,control,2,6,7
288,control,1,7,8
289,control,0,8,9
290,control,1,9,10
291,control,1,7,11
292,control,2,8,12
293,control,2,8,13
294,control,0,5,14
295,control,1,10,1
296,control,0,10,2
297,control,1,11,3
298,control,1,10,4
299,control,2,6,5
300,control,0,10,6
301,control,0,9,7
302,control,0,10,8
303,control,0,10,9
304,control,0,7,10
305,control,0,4,11
306,control,1,8,12
307,control,0,8,13
308,control,2,8,14
309,control,1,5,1
310,control,2,8,2
311,control,2,13,3
312,control,0,5,4
313,control,0,5,5
314,control,0,6,6
315,control,2,7,7
316,control,4,9,8
317,control,1,7,9
318,control,1,10,10
319,control,1,8,11
320,control,0,8,12
321,control,0,6,13
322,control,2,7,14
323,control,1,7,1
324,control,2,8,2
325,control,2,7,3
326,control,0,6,4
327,control,2,9,5
328,control,1,8,6
329,control,0,6,7
330,control,2,12,8
331,control,0,7,9
332,control,1,9,10
333,control,0,9,11
334,control,0,7,12
335,control,1,8,13
336,control,2,5,14
337,control,1,8,1
338,control,1,10,2
339,control,1,12,3
340,control,0,9,4
341,control,1,11,5
342,control,0,11,6
343,control,2,10,7
344,control,1,10,8
345,control,0,7,9
346,control,0,9,10
347,control,2,10,11
348,control,1,4,12
349,control,2,9,13
350,control,1,7,14
351,control,2,11,1
352,control,1,8,2
353,control,1,8,3
354,control,0,7,4
355,control,1,8,5
356,control,0,8,6
357,control,0,6,7
358,control,2,8,8
359,control,1,8,9
360,control,0,11,10
361,control,1,9,11
362,control,1,10,12
363,control,0,8,13
364,control,0,8,14
365,control,0,8,1
366,control,1,11,2
367,control,1,6,3
368,control,0,8,4
369,control,0,10,5
370,control,0,9,6
371,control,0,10,7
372,control,0,9,8
373,control,1,11,9
374,control,1,10,10
375,control,1,9,11
376,control,1,13,12
377,control,0,4,13
378,control,0,8,14
379,control,1,7,1
380,control,0,8,2
381,control,1,7,3
382,control,1,8,4
383,control,0,9,5
384,control,2,11,6
385,control,0,9,7
386,control,2,12,8
387,control,0,8,9
388,control,0,8,10
389,control,0,9,11
390,control,0,9,12
391,control,0,8,13
392,control,3,8,14
393,control,0,7,1
394,control,0,9,2
395,control,1,9,3
396,control,0,6,4
397,control,1,7,5
398,control,0,6,6
399,control,0,7,7
400,control,0,6,8
401,control,3,8,9
402,control,2,9,10
403,control,1,10,11
404,control,1,7,12
405,control,1,8,13
406,control,0,7,14
407,control,0,8,1
408,control,0,10,2
409,control,1,5,3
410,control,0,7,4
411,control,1,7,5
412,control,1,7,6
413,control,1,9,7
414,control,2,8,8
415,control,1,5,9
416,control,1,8,10
417,control,2,8,11
418,control,0,6,12
419,control,1,9,13
420,control,0,5,14
421,control,3,6,1
422,control,0,3,2
423,control,0,7,3
424,control,2,11,4
425,control,0,9,5
426,control,2,9,6
427,control,1,7,7
428,control,1,5,8
429,control,0,7,9
430,control,0,9,10
431,control,1,10,11
432,control,2,9,12
433,control,0,7,13
434,control,2,11,14
435,control,1,11,1
436,control,2,8,2
437,control,1,10,3
438,control,0,9,4
439,control,0,10,5
440,control,0,4,6
441,control,1,11,7
442,control,1,7,8
443,control,0,8,9
444,control,1,7,10
445,control,1,12,11
446,control,0,8,12
447,control,0,11,13
448,control,1,8,14
449,control,0,9,1
450,control,1,6,2
451,control,0,8,3
452,control,2,8,4
453,control,1,10,5
454,control,0,7,6
455,control,0,11,7
456,control,1,9,8
457,control,1,11,9
458,control,2,6,10
459,control,2,10,11
460,control,1,12,12
461,control,0,6,13
462,control,0,7,14
463,control,0,8,1
464,control,1,8,2
465,control,0,6,3
466,control,0,10,4
467,control,2,9,5
468,control,2,10,6
469,control,2,6,7
470,control,0,8,8
471,control,1,10,9
472,control,1,10,10
473,control,1,12,11
474,control,0,7,12
475,control,0,4,13
476,control,0,5,14
477,control,0,7,1
478,control,2,8,2
479,control,1,11,3
480,control,0,9,4
481,control,0,9,5
482,control,0,11,6
483,control,1,5,7
484,control,2,6,8
485,control,1,9,9
486,control,0,8,10
487,control,0,7,11
488,control,0,11,12
489,control,1,9,13
490,control,0,5,14
491,control,1,9,1
492,control,1,6,2
493,control,1,9,3
494,control,0,11,4
495,control,0,8,5
496,control,1,5,6
497,control,0,9,7
498,control,0,10,8
499,control,2,11,9
500,control,0,7,10
501,control,1,11,11
502,control,1,9,12
503,control,0,6,13
504,control,0,6,14
505,control,3,8,1
506,control,0,7,2
507,control,2,6,3
508,control,0,7,4
509,control,2,7,5
510,control,4,11,6
511,control,1,9,7
512,control,0,5,8
513,control,2,10,9
514,control,1,7,10
515,control,0,7,11
516,control,0,7,12
517,control,2,8,13
518,control,0,8,14
519,control,1,12,1
520,control,0,7,2
521,control,0,11,3
522,control,0,11,4
523,control,0,7,5
524,control,1,5,6
525,control,0,4,7
526,control,1,11,8
527,control,1,8,9
528,control,0,8,10
529,control,1,12,11
530,control,1,10,12
531,control,2,10,13
532,control,1,8,14
533,control,0,5,1
534,control,1,10,2
535,control,2,13,3
536,control,2,10,4
537,control,1,8,5
538,control,2,9,6
539,control,0,9,7
540,control,1,7,8
541,control,3,11,9
542,control,0,9,10
543,control,0,9,11
544,control,0,9,12
545,control,0,10,13
546,control,1,7,14
547,control,0,6,1
548,control,1,10,2
549,control,0,8,3
550,control,0,8,4
551,control,2,10,5
552,control,2,8,6
553,control,0,8,7
554,control,0,4,8
555,control,0,7,9
556,control,1,6,10
557,control,1,6,11
558,control,2,8,12
559,control,0,5,13
560,control,1,9,14
561,control,0,10,1
562,control,1,9,2
563,control,1,9,3
564,control,1,12,4
565,control,1,5,5
566,control,0,6,6
567,control,0,10,7
568,control,0,5,8
569,control,1,11,9
570,control,2,10,10
571,control,3,11,11
572,control,1,9,12
573,control,2,7,13
574,control,1,8,14
575,control,0,11,1
576,control,0,9,2
577,control,0,7,3
578,control,1,7,4
579,control,0,10,5
580,control,1,9,6
581,control,1,7,7
582,control,0,8,8
583,control,2,9,9
584,control,2,11,10
585,control,1,9,11
586,control,0,8,12
587,control,1,9,13
588,control,1,6,14
589,control,1,10,1
590,control,2,10,2
591,control,2,11,3
592,control,2,11,4
593,control,1,10,5
594,control,0,7,6
595,control,0,6,7
596,control,2,9,8
597,control,0,7,9
598,control,0,10,10
599,control,0,8,11
600,control,0,8,12
601,control,0,8,13
602,control,0,6,14
603,control,1,9,1
604,control,1,7,2
605,control,0,8,3
606,control,1,6,4
607,control,0,9,5
608,control,0,7,6
609,control,0,8,7
610,control,0,10,8
611,control,1,8,9
612,control,0,8,10
613,control,0,7,11
614,control,0,3,12
615,control,1,9,13
616,control,0,5,14
617,control,0,7,1
618,control,1,4,2
619,control,1,8,3
620,control,1,6,4
621,control,3,10,5
622,control,1,8,6
623,control,1,7,7
624,control,0,6,8
625,control,0,11,9
626,control,0,8,10
627,control,1,7,11
628,control,0,9,12
629,control,1,12,13
630,control,0,8,14
631,control,0,9,1
632,control,1,10,2
633,control,0,9,3
634,control,0,9,4
635,control,1,7,5
636,control,0,8,6
637,control,0,9,7
638,control,1,9,8
639,control,0,10,9
640,control,0,7,10
641,control,0,8,11
642,control,0,8,12
643,control,0,7,13
644,control,2,8,14
645,control,1,9,1
646,control,0,9,2
647,control,2,13,3
648,control,1,6,4
649,control,0,9,5
650,control,1,5,6
651,control,2,7,7
652,control,0,8,8
653,control,1,7,9
654,control,4,8,10
655,control,1,8,11
656,control,0,7,12
657,control,1,10,13
658,control,0,7,14
659,control,2,7,1
660,control,1,7,2
661,control,0,7,3
662,control,2,8,4
663,control,1,9,5
664,control,0,9,6
665,control,2,6,7
666,control,0,9,8
667,control,1,7,9
668,control,0,3,10
669,control,2,8,11
670,control,1,9,12
671,control,0,9,13
672,control,1,5,14
673,control,1,11,1
674,control,1,10,2
675,control,0,8,3
676,control,0,8,4
677,control,1,8,5
678,control,0,8,6
679,control,1,5,7
680,control,1,7,8
681,control,2,9,9
682,control,0,6,10
683,control,0,5,11
684,control,0,7,12
685,control,0,9,13
686,control,1,8,14
687,control,2,7,1
688,control,1,6,2
689,control,1,10,3
690,control,1,7,4
691,control,0,8,5
692,control,0,9,6
693,control,0,9,7
694,control,1,10,8
695,control,0,7,9
696,control,2,9,10
697,control,1,11,11
698,control,0,9,12
699,control,2,7,13
700,control,1,12,14
701,control,1,5,1
702,control,1,8,2
703,control,0,11,3
704,control,0,9,4
705,control,1,3,5
706,control,0,9,6
707,control,1,8,7
708,control,1,11,8
709,control,2,10,9
710,control,0,11,10
711,control,0,12,11
712,control,1,7,12
713,control,0,9,13
714,control,0,8,14
715,control,0,7,1
716,control,0,5,2
717,control,2,5,3
718,control,0,7,4
719,control,0,8,5
720,control,1,8,6
721,control,1,8,7
722,control,1,10,8
723,control,3,9,9
724,control,1,9,10
725,control,3,12,11
726,control,0,6,12
727,control,1,6,13
728,control,0,7,14
729,control,1,7,1
730,control,1,10,2
731,control,0,10,3
732,control,2,7,4
733,control,0,12,5
734,control,1,7,6
735,control,1,11,7
736,control,1,7,8
737,control,1,8,9
738,control,1,9,10
739,control,1,6,11
740,control,0,10,12
741,control,0,8,13
742,control,0,8,14
743,control,0,8,1
744,control,1,11,2
745,control,0,8,3
746,control,1,7,4
747,control,0,10,5
748,control,2,10,6
749,control,2,10,7
750,control,0,12,8
751,control,0,8,9
752,control,0,11,10
753,control,0,4,11
754,control,0,7,12
755,control,0,7,13
756,control,1,11,14
757,control,1,8,1
758,control,0,9,2
759,control,0,13,3
760,control,0,8,4
761,control,0,9,5
762,control,4,12,6
763,control,0,7,7
764,control,1,7,8
765,control,0,8,9
766,control,0,6,10
767,control,0,9,11
768,control,1,12,12
769,control,0,5,13
770,control,1,7,14
771,control,0,10,1
772,control,0,7,2
773,control,3,13,3
774,control,1,6,4
775,control,0,7,5
776,control,1,6,6
777,control,2,10,7
778,control,1,7,8
779,control,0,6,9
780,control,1,10,10
781,control,1,9,11
782,control,1,9,12
783,control,0,8,13
784,control,1,4,14
785,control,3,9,1
786,control,1,8,2
787,control,0,9,3
788,control,1,8,4
789,control,1,7,5
790,control,1,10,6
791,control,1,10,7
792,control,0,8,8
793,control,0,10,9
794,control,1,7,10
795,control,0,10,11
796,control,3,9,12
797,control,0,7,13
798,control,1,8,14
799,control,2,6,1
800,control,1,11,2
801,control,2,9,3
802,control,0,8,4
803,control,0,7,5
804,control,3,7,6
805,control,1,8,7
806,control,0,11,8
807,control,0,8,9
808,control,1,9,10
809,control,0,7,11
810,control,1,10,12
811,control,1,10,13
812,control,0,8,14
813,control,1,11,1
814,control,0,11,2
815,control,0,9,3
816,control,3,6,4
817,control,0,10,5
818,control,2,10,6
819,control,0,11,7
820,control,0,9,8
821,control,1,8,9
822,control,1,10,10
823,control,2,10,11
824,control,1,9,12
825,control,0,8,13
826,control,1,7,14
827,control,0,7,1
828,control,1,9,2
829,control,0,3,3
830,control,0,9,4
831,control,1,5,5
832,control,1,8,6
833,control,1,9,7
834,control,0,6,8
835,control,0,9,9
836,control,1,10,10
837,control,1,8,11
838,control,0,8,12
839,control,1,7,13
840,control,0,7,14
841,control,1,9,1
842,control,0,7,2
843,control,2,5,3
844,control,0,6,4
845,control,1,11,5
846,control,0,6,6
847,control,0,11,7
848,control,1,10,8
849,control,2,8,9
850,control,0,8,10
851,control,2,10,11
852,control,1,8,12
853,control,0,10,13
854,control,2,9,14
855,control,0,4,1
856,control,0,10,2
857,control,1,10,3
858,control,1,13,4
859,control,0,9,5
860,control,0,7,6
861,control,1,9,7
862,control,1,10,8
863,control,0,6,9
864,control,1,6,10
865,control,1,7,11
866,control,1,6,12
867,control,1,10,13
868,control,1,8,14
869,control,2,10,1
870,control,2,8,2
871,control,0,9,3
872,control,1,12,4
873,control,0,7,5
874,control,1,8,6
875,control,1,9,7
876,control,0,9,8
877,control,1,11,9
878,control,0,6,10
879,control,2,8,11
880,control,1,9,12
881,control,1,11,13
882,control,1,11,14
883,control,1,11,1
884,control,1,9,2
885,control,0,4,3
886,control,1,9,4
887,control,1,7,5
888,control,0,8,6
889,control,0,9,7
890,control,1,8,8
891,control,0,12,9
892,control,0,7,10
893,control,1,9,11
894,control,0,7,12
895,control,3,11,13
896,control,1,7,14
897,control,0,9,1
898,control,2,8,2
899,control,2,9,3
900,control,1,10,4
901,control,0,8,5
902,control,2,10,6
903,control,1,5,7
904,control,2,9,8
905,control,0,11,9
906,control,2,9,10
907,control,0,7,11
908,control,1,8,12
909,control,0,6,13
910,control,1,7,14
911,control,0,8,1
912,control,0,6,2
913,control,0,9,3
914,control,1,9,4
915,control,0,9,5
916,control,1,8,6
917,control,2,9,7
918,control,0,7,8
919,control,1,9,9
920,control,0,7,10
921,control,1,11,11
922,control,0,11,12
923,control,1,6,13
924,control,0,12,14
925,control,1,9,1
926,control,0,7,2
927,control,0,10,3
928,control,1,5,4
929,control,0,6,5
930,control,2,11,6
931,control,2,8,7
932,control,3,9,8
933,control,0,11,9
934,control,0,9,10
935,control,1,9,11
936,control,1,8,12
937,control,2,10,13
938,control,0,7,14
939,control,0,8,1
940,control,1,8,2
941,control,2,9,3
942,control,1,9,4
943,control,3,8,5
944,control,0,9,6
945,control,1,11,7
946,control,0,9,8
947,control,2,6,9
948,control,0,6,10
949,control,3,11,11
950,control,1,7,12
951,control,2,5,13
952,control,0,5,14
953,control,0,9,1
954,control,1,12,2
955,control,3,11,3
956,control,2,8,4
957,control,1,12,5
958,control,1,11,6
959,control,1,9,7
960,control,0,9,8
961,control,1,8,9
962,control,0,5,10
963,control,1,7,11
964,control,2,6,12
965,control,1,10,13
966,control,1,4,14
967,control,0,7,1
968,control,0,8,2
969,control,1,9,3
970,control,0,9,4
971,control,1,7,5
972,control,0,5,6
973,control,1,7,7
974,control,1,8,8
975,control,0,9,9
976,control,0,9,10
977,control,2,7,11
978,control,0,12,12
979,control,0,8,13
980,control,0,6,14
981,control,3,8,1
982,control,0,9,2
983,control,1,10,3
984,control,2,8,4
985,control,1,11,5
986,control,2,10,6
987,control,0,5,7
988,control,0,8,8
989,control,1,7,9
990,control,2,8,10
991,control,1,6,11
992,control,2,11,12
993,control,0,10,13
994,control,0,7,14
995,control,1,8,1
996,control,2,9,2
997,control,1,10,3
998,control,0,3,4
999,control,0,7,5
1000,control,3,8,6
1001,control,1,8,7
1002,control,1,9,8
1003,control,0,6,9
1004,control,0,9,10
1005,control,1,6,11
1006,control,0,12,12
1007,control,3,9,13
1008,control,0,6,14
1009,control,1,5,1
1010,control,0,8,2
1011,control,1,9,3
1012,control,0,10,4
1013,control,1,11,5
1014,control,1,10,6
1015,control,0,7,7
1016,control,0,10,8
1017,control,1,8,9
1018,control,1,9,10
1019,control,0,3,11
1020,control,1,8,12
1021,control,1,9,13
1022,control,2,8,14
1023,control,1,10,1
1024,control,0,5,2
1025,control,2,9,3
1026,control,0,11,4
1027,control,2,10,5
1028,control,0,7,6
1029,control,0,6,7
1030,control,0,9,8
1031,control,2,8,9
1032,control,1,5,10
1033,control,0,9,11
1034,control,1,7,12
1035,control,0,11,13
1036,control,0,7,14
1037,control,1,6,1
1038,control,3,9,2
1039,control,0,9,3
1040,control,0,8,4
1041,control,1,10,5
1042,control,2,8,6
1043,control,1,6,7
1044,control,0,8,8
1045,control,1,7,9
1046,control,0,11,10
1047,control,1,6,11
1048,control,0,6,12
1049,control,2,7,13
1050,control,1,6,14
1051,control,0,4,1
1052,control,4,12,2
1053,control,0,9,3
1054,control,3,8,4
1055,control,0,8,5
1056,control,0,3,6
1057,control,0,10,7
1058,control,1,10,8
1059,control,2,12,9
1060,control,1,8,10
1061,control,0,8,11
1062,control,3,10,12
1063,control,0,6,13
1064,control,0,7,14
1065,control,1,8,1
1066,control,1,9,2
1067,control,2,5,3
1068,control,1,11,4
1069,control,1,10,5
1070,control,0,7,6
1071,control,0,11,7
1072,control,0,11,8
1073,control,2,7,9
1074,control,0,10,10
1075,control,1,8,11
1076,control,1,9,12
1077,control,1,9,13
1078,control,2,12,14
1079,control,0,4,1
1080,control,1,11,2
1081,control,0,7,3
1082,control,0,9,4
1083,control,1,9,5
1084,control,0,8,6
1085,control,0,10,7
1086,control,0,7,8
1087,control,1,6,9
1088,control,0,6,10
1089,control,0,7,11
1090,control,0,7,12
1091,control,1,9,13
1092,control,0,9,14
1093,control,1,8,1
1094,control,0,5,2
1095,control,0,10,3
1096,control,0,5,4
1097,control,0,8,5
1098,control,0,8,6
1099,control,0,10,7
1100,control,3,8,8
1101,control,0,10,9
1102,control,2,11,10
1103,control,0,9,11
1104,control,2,10,12
1105,control,2,11,13
1106,control,0,7,14
1107,control,1,9,1
1108,control,0,6,2
1109,control,0,9,3
1110,control,2,10,4
1111,control,1,5,5
1112,control,0,7,6
1113,control,1,8,7
1114,control,1,10,8
1115,control,1,11,9
1116,control,0,8,10
1117,control,1,11,11
1118,control,0,8,12
1119,control,0,4,13
1120,control,2,10,14
1121,control,0,8,1
1122,control,3,9,2
1123,control,0,9,3
1124,control,1,9,4
1125,control,0,10,5
1126,control,1,5,6
1127,control,1,7,7
1128,control,3,9,8
1129,control,1,12,9
1130,control,1,6,10
1131,control,1,5,11
1132,control,1,6,12
1133,control,0,6,13
1134,control,0,7,14
1135,control,0,7,1
1136,control,2,8,2
1137,control,0,7,3
1138,control,0,7,4
1139,control,0,6,5
1140,control,0,12,6
1141,control,2,11,7
1142,control,1,6,8
1143,control,0,10,9
1144,control,0,6,10
1145,control,1,12,11
1146,control,0,7,12
1147,control,2,8,13
1148,control,1,10,14
1149,control,0,10,1
1150,control,0,9,2
1151,control,2,8,3
1152,control,2,7,4
1153,control,0,8,5
1154,control,0,6,6
1155,control,1,6,7
1156,control,1,9,8
1157,control,1,10,9
1158,control,1,7,10
1159,control,5,8,11
1160,control,0,6,12
1161,control,0,9,13
1162,control,1,8,14
1163,control,0,8,1
1164,control,0,6,2
1165,control,0,9,3
1166,control,0,4,4
1167,control,1,10,5
1168,control,0,6,6
1169,control,1,9,7
1170,control,0,4,8
1171,control,0,8,9
1172,control,1,9,10
1173,control,0,7,11
1174,control,1,11,12
1175,control,0,7,13
1176,control,2,7,14
1177,control,1,9,1
1178,control,3,9,2
1179,control,1,7,3
1180,control,0,8,4
1181,control,1,8,5
1182,control,3,11,6
1183,control,1,9,7
1184,control,0,8,8
1185,control,0,12,9
1186,control,0,8,10
1187,control,0,6,11
1188,control,2,5,12
1189,control,1,9,13
1190,control,1,10,14
1191,control,0,7,1
1192,control,0,8,2
1193,control,0,10,3
1194,control,1,8,4
1195,control,3,11,5
1196,control,0,8,6
1197,control,0,9,7
1198,control,3,7,8
1199,control,0,12,9
1200,control,1,7,10
1201,control,1,9,11
1202,control,2,9,12
1203,control,3,10,13
1204,control,1,9,14
1205,control,1,10,1
1206,control,2,10,2
1207,control,1,7,3
1208,control,0,7,4
1209,control,0,8,5
1210,control,1,8,6
1211,control,0,7,7
1212,control,1,12,8
1213,control,3,6,9
1214,control,2,12,10
1215,control,2,10,11
1216,control,2,10,12
1217,control,0,12,13
1218,control,2,9,14
1219,control,1,8,1
1220,control,1,9,2
1221,control,2,8,3
1222,control,2,6,4
1223,control,0,10,5
1224,control,0,5,6
1225,control,0,4,7
1226,control,1,8,8
1227,control,1,7,9
1228,control,0,9,10
1229,control,1,7,11
1230,control,0,10,12
1231,control,0,9,13
1232,control,0,9,14
1233,control,1,9,1
1234,control,0,8,2
1235,control,0,7,3
1236,control,2,12,4
1237,control,1,9,5
1238,control,0,7,6
1239,control,1,10,7
1240,control,0,6,8
1241,control,0,7,9
1242,control,0,7,10
1243,control,3,13,11
1244,control,1,7,12
1245,control,0,10,13
1246,control,1,7,14
1247,control,0,8,1
1248,control,1,8,2
1249,control,0,10,3
1250,control,0,8,4
1251,control,0,8,5
1252,control,0,9,6
1253,control,0,9,7
1254,control,1,9,8
1255,control,0,11,9
1256,control,0,7,10
1257,control,0,10,11
1258,control,0,10,12
1259,control,1,7,13
1260,control,0,8,14
1261,control,0,6,1
1262,control,0,10,2
1263,control,0,7,3
1264,control,0,8,4
1265,control,0,8,5
1266,control,2,7,6
1267,control,2,9,7
1268,control,0,7,8
1269,control,0,5,9
1270,control,1,8,10
1271,control,0,9,11
1272,control,1,5,12
1273,control,1,7,13
1274,control,1,11,14
1275,control,0,7,1
1276,control,1,11,2
1277,control,0,4,3
1278,control,1,12,4
1279,control,1,10,5
1280,control,0,7,6
1281,control,0,7,7
1282,control,1,10,8
1283,control,3,10,9
1284,control,1,9,10
1285,control,1,9,11
1286,control,1,9,12
1287,control,1,12,13
1288,control,1,8,14
1289,control,2,8,1
1290,control,0,9,2
1291,control,0,7,3
1292,control,0,8,4
1293,control,0,8,5
1294,control,0,7,6
1295,control,0,9,7
1296,control,1,7,8
1297,control,2,8,9
1298,control,0,6,10
1299,control,1,8,11
1300,control,0,6,12
1301,control,1,8,13
1302,control,1,8,14
1303,control,0,9,1
1304,control,0,6,2
1305,control,2,9,3
1306,control,1,10,4
1307,control,1,8,5
1308,control,0,10,6
1309,control,1,11,7
1310,control,1,11,8
1311,control,0,7,9
1312,control,3,10,10
1313,control,1,12,11
1314,control,0,6,12
1315,control,0,5,13
1316,control,0,7,14
1317,control,1,9,1
1318,control,1,12,2
1319,control,0,8,3
1320,control,1,8,4
1321,control,0,10,5
1322,control,1,6,6
1323,control,0,9,7
1324,control,0,6,8
1325,control,3,7,9
1326,control,0,10,10
1327,control,0,6,11
1328,control,0,8,12
1329,control,1,7,13
1330,control,0,10,14
1331,control,3,10,1
1332,control,1,4,2
1333,control,1,11,3
1334,control,1,10,4
1335,control,0,4,5
1336,control,0,6,6
1337,control,2,11,7
1338,control,2,10,8
1339,control,1,9,9
1340,control,0,9,10
1341,control,1,12,11
1342,control,0,8,12
1343,control,0,8,13
1344,control,0,10,14
1345,control,0,5,1
1346,control,1,9,2
1347,control,2,7,3
1348,control,1,8,4
1349,control,0,5,5
1350,control,0,9,6
1351,control,1,8,7
1352,control,0,12,8
1353,control,1,7,9
1354,control,0,8,10
1355,control,0,9,11
1356,control,0,12,12
1357,control,1,8,13
1358,control,1,9,14
1359,control,2,10,1
1360,control,1,6,2
