user_id,variant,arpu,day,time_on_site
132,control,181.6,6,236.2
133,control,204.22,7,83.7
134,control,153.13,8,115.7
135,control,13.58,9,119.7
136,control,72.33,10,245.9
137,control,147.54,11,220.4
138,control,0,12,292.4
139,control,123.34,13,247.2
140,control,126.43,14,187.8
141,control,0,1,171.8
142,control,0,2,152.8
143,control,0,3,192.7
144,control,129.85,4,157.9
145,control,105.25,5,148.3
146,control,199.03,6,111.1
147,control,130.67,7,63.5
148,control,132.21,8,186.9
149,control,74.4,9,190.9
150,control,142.29,10,160.2
151,control,114.36,11,275.8
152,control,223.48,12,255.0
153,control,40.85,13,239.6
154,control,116.08,14,160.0
155,control,97.65,1,238.7
156,control,82.56,2,131.9
157,control,51.92,3,199.3
158,control,29.38,4,146.8
159,control,94.76,5,174.7
160,control,0,6,128.3
161,control,103.73,7,224.0
162,control,106.29,8,146.5
163,control,18.01,9,176.1
164,control,134.98,10,226.9
165,control,133.86,11,99.0
166,control,100.41,12,260.2
167,control,146.8,13,178.9
168,control,94.37,14,148.1
169,control,97.72,1,210.5
170,control,0,2,137.8
171,control,74.67,3,101.9
172,control,58.22,4,156.8
173,control,96.01,5,212.0
174,control,135.06,6,177.1
175,control,145.74,7,132.0
176,control,153.56,8,129.6
177,control,222.45,9,145.1
178,control,103.9,10,161.2
179,control,91.29,11,166.9
180,control,38.24,12,142.5
181,control,154.84,13,234.1
182,control,66.7,14,243.1
183,control,70.57,1,160.0
184,control,17.81,2,192.2
185,control,260.09,3,105.1
186,control,89.8,4,236.4
187,control,32.43,5,193.8
188,control,249.93,6,140.3
189,control,166.1,7,281.7
190,control,185.16,8,78.3
191,control,87.62,9,185.4
192,control,83.06,10,143.8
193,control,92.4,11,150.9
194,control,67.77,12,169.1
195,control,50.72,13,156.5
196,control,245.01,14,222.2
197,control,101.61,1,93.4
198,control,53.01,2,229.7
199,control,47.91,3,162.5
200,control,84.47,4,153.9
201,control,136.02,5,223.2
202,control,0,6,176.7
203,control,74.02,7,104.0
204,control,0,8,231.8
205,control,9.09,9,167.7
206,control,126.2,10,277.0
207,control,237.06,11,213.8
208,control,0,12,10
209,control,155.74,13,121.4
210,control,70.2,14,124.8
211,control,44.06,1,311.6
212,control,0,2,237.1
213,control,135.64,3,181.3
214,control,161.61,4,107.7
215,control,96.83,5,97.9
216,control,151.17,6,238.2
217,control,0,7,172.4
218,control,186.61,8,173.5
219,control,64.87,9,96.4
220,control,269.15,10,274.0
221,control,0,11,257.3
222,control,147.07,12,143.7
223,control,5.15,13,129.2
224,control,84.64,14,134.1
225,control,119.79,1,217.7
226,control,0,2,294.3
227,control,0,3,221.8
228,control,147.03,4,178.7
229,control,0,5,269.6
230,control,10.02,6,257.9
231,control,139.01,7,16.0
232,control,161.81,8,212.4
233,control,151.54,9,142.4
234,control,153.13,10,275.4
235,control,132.13,11,265.4
236,control,147.55,12,83.3
237,control,85.18,13,131.9
238,control,4.27,14,142.9
239,control,79.62,1,282.5
240,control,244.32,2,95.6
241,control,0,3,171.9
242,control,199.12,4,162.6
243,control,39.78,5,205.1
244,control,246.06,6,227.4
245,control,200.45,7,178.6
246,control,152.46,8,57.6
247,control,174.19,9,197.5
248,control,0,10,159.6
249,control,148.83,11,235.1
250,control,85.14,12,197.0
251,control,81.39,13,78.3
252,control,213.93,14,154.0
253,control,135.87,1,95.7
254,control,114.94,2,231.7
255,control,133.67,3,247.5
256,control,133.64,4,107.8
257,control,131.44,5,184.7
258,control,47.45,6,107.4
259,control,46.52,7,154.4
260,control,138.25,8,269.2
261,control,101.47,9,244.0
262,control,96.24,10,152.8
263,control,108.49,11,137.3
264,control,184.75,12,96.0
265,control,79.8,13,46.2
266,control,239.97,14,146.6
267,control,158.73,1,280.8
268,control,139.66,2,205.5
269,control,144.53,3,131.7
270,control,109.7,4,137.1
271,control,118.32,5,192.6
272,control,219.68,6,100.4
273,control,191.34,7,160.9
274,control,108.57,8,121.5
275,control,135.96,9,216.3
276,control,8.53,10,155.7
277,control,187.31,11,206.1
278,control,88.93,12,189.8
279,control,171.59,13,198.3
280,control,231.91,14,172.7
281,control,60.94,1,256.4
282,control,189.48,2,163.3
283,control,239.16,3,217.6
284,control,40.01,4,76.8
285,control,188.84,5,39.7
286,control,108.68,6,135.6
287,control,157.27,7,188.3
288,control,41.29,8,201.5
289,control,37.45,9,188.0
290,control,65.85,10,141.8
291,control,64.3,11,185.4
292,control,0,12,100.5
293,control,126.8,13,128.5
294,control,192.68,14,91.0
295,control,0,1,221.8
296,control,129.18,2,201.9
297,control,144.27,3,138.3
298,control,155.84,4,267.5
299,control,82.22,5,207.0
300,control,60.26,6,224.6
301,control,64.11,7,159.0
302,control,197.86,8,153.9
303,control,86.21,9,244.6
304,control,118.52,10,171.1
305,control,80.93,11,219.1
306,control,0,12,92.6
307,control,1.0,13,168.4
308,control,215.46,14,208.3
309,control,140.82,1,205.6
310,control,29.13,2,124.8
311,control,138.01,3,213.1
312,control,259.49,4,245.8
313,control,185.44,5,170.5
314,control,80.23,6,43.5
315,control,113.37,7,175.9
316,control,153.79,8,274.5
317,control,138.1,9,137.7
318,control,165.83,10,200.0
319,control,0,11,138.7
320,control,168.0,12,194.0
321,control,120.03,13,210.2
322,control,28.41,14,269.8
323,control,80.05,1,205.3
324,control,115.73,2,175.9
325,control,62.33,3,332.7
326,control,47.37,4,198.5
327,control,70.04,5,128.9
328,control,48.33,6,149.3
329,control,16.56,7,255.7
330,control,82.08,8,96.0
331,control,84.99,9,130.2
332,control,104.54,10,209.5
333,control,66.48,11,253.1
334,control,117.63,12,193.0
335,control,42.15,13,219.8
336,control,0,14,235.7
337,control,140.81,1,269.4
338,control,41.1,2,199.4
339,control,180.21,3,168.8
340,control,0,4,183.1
341,control,174.56,5,242.7
342,control,171.76,6,188.3
343,control,29.51,7,210.8
344,control,249.33,8,239.5
345,control,157.99,9,261.0
346,control,226.21,10,238.5
347,control,54.75,11,146.5
348,control,9.75,12,213.5
349,control,188.99,13,182.8
350,control,112.58,14,235.3
351,control,125.72,1,172.6
352,control,77.67,2,201.8
353,control,136.11,3,117.7
354,control,0,4,244.2
355,control,194.95,5,58.7
356,control,132.46,6,160.3
357,control,1.71,7,183.8
358,control,83.17,8,131.6
359,control,153.22,9,236.4
360,control,248.66,10,54.4
361,control,92.77,11,168.2
362,control,63.67,12,121.8
363,control,164.6,13,54.9
364,control,0,14,157.9
365,control,186.91,1,10
366,control,173.87,2,167.7
367,control,0,3,273.9
368,control,165.9,4,161.8
369,control,196.08,5,154.6
370,control,235.67,6,229.6
371,control,109.91,7,81.5
372,control,39.36,8,163.4
373,control,133.51,9,231.4
374,control,94.88,10,239.5
375,control,137.11,11,269.3
376,control,162.31,12,117.8
377,control,80.7,13,180.9
378,control,149.78,14,181.2
379,control,182.85,1,80.0
380,control,0,2,234.4
381,control,156.33,3,29.2
382,control,46.02,4,65.8
383,control,74.59,5,200.7
384,control,135.52,6,173.3
385,control,184.51,7,181.5
386,control,245.07,8,70.6
387,control,41.84,9,189.7
388,control,135.58,10,283.3
389,control,53.35,11,196.6
390,control,36.66,12,188.9
391,control,273.18,13,104.3
392,control,214.76,14,161.1
393,control,88.63,1,129.8
394,control,67.95,2,139.9
395,control,176.73,3,269.4
396,control,42.64,4,229.1
397,control,88.26,5,238.5
398,control,158.66,6,256.1
399,control,102.23,7,196.0
400,control,33.81,8,213.0
401,control,51.08,9,294.0
402,control,12.79,10,152.1
403,control,142.62,11,218.9
404,control,132.99,12,154.9
405,control,45.98,13,155.9
406,control,117.81,14,252.0
407,control,34.21,1,198.1
408,control,53.58,2,138.1
409,control,163.32,3,193.9
410,control,163.93,4,162.9
411,control,38.31,5,233.8
412,control,0,6,175.4
413,control,39.96,7,191.8
414,control,138.13,8,139.1
415,control,99.54,9,196.9
416,control,67.77,10,186.6
417,control,211.65,11,153.5
418,control,65.9,12,196.1
419,control,179.65,13,185.6
420,control,44.99,14,203.9
421,control,0,1,256.0
422,control,17.45,2,229.8
423,control,100.26,3,142.2
424,control,170.49,4,233.1
425,control,200.31,5,206.5
426,control,0,6,185.8
427,control,68.08,7,180.0
428,control,0,8,168.2
429,control,135.37,9,224.5
430,control,163.78,10,262.5
431,control,0,11,249.6
432,control,131.62,12,230.7
433,control,0,13,181.9
434,control,92.9,14,244.0
435,control,6.4,1,239.2
436,control,189.05,2,284.6
437,control,18.28,3,301.7
438,control,58.48,4,260.0
439,control,120.46,5,225.4
440,control,356.83,6,57.4
441,control,73.23,7,177.1
442,control,124.51,8,95.9
443,control,122.37,9,193.0
444,control,105.46,10,175.0
445,control,52.26,11,209.5
446,control,112.81,12,192.9
447,control,187.19,13,158.4
448,control,239.18,14,172.2
449,control,251.35,1,103.5
450,control,66.72,2,220.2
451,control,231.92,3,193.4
452,control,83.52,4,176.8
453,control,147.99,5,200.1
454,control,24.8,6,72.2
455,control,185.09,7,127.3
456,control,0,8,146.1
457,control,189.61,9,185.3
458,control,90.6,10,267.0
459,control,115.98,11,36.5
460,control,22.92,12,195.2
461,control,217.23,13,120.3
462,control,13.23,14,63.2
463,control,125.82,1,137.2
464,control,0,2,168.4
465,control,32.55,3,238.5
466,control,58.67,4,191.0
467,control,189.38,5,149.7
468,control,261.05,6,181.6
469,control,105.92,7,220.2
470,control,74.74,8,195.3
471,control,181.66,9,138.1
472,control,212.29,10,194.0
473,control,142.93,11,159.3
474,control,91.34,12,202.2
475,control,102.56,13,157.3
476,control,33.14,14,227.4
477,control,0,1,169.8
478,control,6.97,2,223.7
479,control,192.49,3,235.2
480,control,177.06,4,152.5
481,control,223.93,5,239.6
482,control,171.43,6,164.7
483,control,110.49,7,101.0
484,control,105.3,8,242.4
485,control,94.66,9,177.2
486,control,118.77,10,231.8
487,control,202.36,11,125.1
488,control,74.83,12,167.4
489,control,61.26,13,230.1
490,control,19.14,14,203.5
491,control,66.78,1,111.1
492,control,49.32,2,116.0
493,control,77.43,3,175.1
494,control,292.4,4,154.0
495,control,50.8,5,244.4
496,control,92.52,6,148.4
497,control,93.31,7,277.3
498,control,222.7,8,206.9
499,control,67.42,9,210.3
500,control,0,10,202.0
501,control,0,11,195.7
502,control,49.55,12,123.9
503,control,95.34,13,162.7
504,control,209.99,14,103.6
505,control,75.09,1,131.0
506,control,28.76,2,258.2
507,control,104.69,3,246.5
508,control,16.18,4,170.8
509,control,116.32,5,114.7
510,control,218.36,6,266.7
511,control,139.01,7,121.8
512,control,147.21,8,238.8
513,control,135.38,9,244.3
514,control,31.83,10,245.2
515,control,226.32,11,265.5
516,control,142.16,12,209.0
517,control,31.59,13,128.6
518,control,115.28,14,224.4
519,control,203.91,1,223.0
520,control,0,2,162.9
521,control,47.73,3,197.6
522,control,119.25,4,278.3
523,control,107.26,5,187.9
524,control,207.39,6,228.5
525,control,67.35,7,232.8
526,control,157.34,8,230.5
527,control,69.73,9,109.5
528,control,73.62,10,293.0
529,control,118.26,11,201.4
530,control,91.51,12,168.8
531,control,81.65,13,177.9
532,control,64.27,14,249.0
533,control,3.34,1,158.1
534,control,70.63,2,12.7
535,control,81.99,3,132.4
536,control,50.91,4,166.6
537,control,196.73,5,188.6
538,control,151.37,6,68.7
539,control,70.96,7,173.0
540,control,130.95,8,139.3
541,control,28.37,9,157.1
542,control,210.65,10,164.8
543,control,0,11,144.5
544,control,123.33,12,157.5
545,control,107.49,13,20.0
546,control,64.13,14,156.8
547,control,111.91,1,165.9
548,control,0,2,202.0
549,control,71.8,3,118.6
550,control,60.43,4,223.0
551,control,154.89,5,176.0
552,control,164.71,6,304.9
553,control,26.1,7,282.6
554,control,93.63,8,219.3
555,control,142.16,9,95.7
556,control,79.93,10,320.0
557,control,200.55,11,159.3
558,control,101.05,12,203.1
559,control,89.51,13,29.2
560,control,121.19,14,166.1
561,control,192.91,1,79.1
562,control,146.26,2,175.2
563,control,73.22,3,248.4
564,control,108.96,4,181.8
565,control,151.74,5,156.2
566,control,295.94,6,186.6
567,control,171.33,7,95.4
568,control,99.91,8,112.0
569,control,23.41,9,176.3
570,control,13.46,10,189.9
571,control,157.63,11,178.6
572,control,92.45,12,124.3
573,control,89.29,13,236.1
574,control,33.43,14,209.3
575,control,100.85,1,234.3
576,control,32.57,2,171.7
577,control,179.49,3,147.2
578,control,155.3,4,292.5
579,control,97.38,5,211.3
580,control,84.76,6,21.0
581,control,128.12,7,202.6
582,control,32.02,8,116.9
583,control,102.46,9,171.6
584,control,0,10,144.8
585,control,96.53,11,106.4
586,control,107.5,12,171.0
587,control,64.6,13,200.0
588,control,171.57,14,127.6
589,control,43.75,1,162.3
590,control,241.42,2,177.4
591,control,120.42,3,294.2
592,control,0,4,152.8
593,control,0,5,218.5
594,control,185.88,6,284.4
595,control,109.31,7,236.4
596,control,47.16,8,141.1
597,control,50.17,9,136.3
598,control,119.0,10,175.9
599,control,136.32,11,152.8
600,control,251.33,12,320.1
601,control,114.57,13,266.8
602,control,140.67,14,45.3
603,control,83.93,1,217.6
604,control,75.74,2,221.3
605,control,16.57,3,265.6
606,control,3.58,4,228.8
607,control,5.76,5,154.4
608,control,180.32,6,82.7
609,control,42.01,7,208.9
610,control,252.76,8,125.8
611,control,85.5,9,239.8
612,control,33.45,10,155.8
613,control,40.2,11,105.4
614,control,216.76,12,241.2
615,control,182.35,13,106.9
616,control,161.44,14,208.5
617,control,167.39,1,76.4
618,control,168.34,2,285.0
619,control,128.08,3,180.0
620,control,67.79,4,226.8
621,control,180.75,5,223.4
622,control,4.87,6,153.3
623,control,85.17,7,118.3
624,control,102.08,8,57.9
625,control,109.88,9,222.2
626,control,226.43,10,197.9
627,control,110.13,11,200.9
628,control,91.6,12,277.9
629,control,65.33,13,185.4
630,control,106.43,14,167.1
631,control,199.21,1,210.5
632,control,111.52,2,73.3
633,control,165.74,3,102.5
634,control,38.22,4,239.8
635,control,95.81,5,153.1
636,control,153.88,6,100.7
637,control,0,7,290.6
638,control,201.72,8,95.2
639,control,58.77,9,97.3
640,control,120.12,10,51.3
641,control,70.44,11,205.1
642,control,181.77,12,285.9
643,control,34.54,13,286.3
644,control,172.01,14,174.9
645,control,71.25,1,201.5
646,control,49.22,2,170.4
647,control,111.65,3,161.9
648,control,63.1,4,145.8
649,control,165.22,5,164.5
650,control,30.89,6,185.6
651,control,72.14,7,123.6
652,control,48.11,8,151.1
653,control,141.1,9,263.7
654,control,270.83,10,133.4
655,control,62.19,11,167.9
656,control,0,12,77.7
657,control,83.67,13,234.1
658,control,36.17,14,46.0
659,control,205.07,1,136.6
660,control,214.49,2,248.2
661,control,65.44,3,237.8
662,control,54.49,4,171.5
663,control,116.05,5,236.2
664,control,158.63,6,161.6
665,control,129.54,7,134.2
666,control,153.07,8,203.5
667,control,41.9,9,236.5
668,control,0,10,138.0
669,control,21.85,11,151.9
670,control,10.93,12,219.7
671,control,109.45,13,241.3
672,control,183.08,14,154.3
673,control,201.98,1,219.6
674,control,110.12,2,229.8
675,control,43.75,3,156.5
676,control,308.78,4,163.0
677,control,127.85,5,170.8
678,control,107.82,6,233.4
679,control,74.1,7,150.1
680,control,181.4,8,175.2
681,control,123.57,9,247.3
682,control,193.41,10,114.9
683,control,72.71,11,130.5
684,control,76.98,12,105.8
685,control,243.44,13,265.1
686,control,67.22,14,245.6
687,control,108.06,1,67.0
688,control,26.72,2,186.6
689,control,53.28,3,197.2
690,control,199.74,4,165.9
691,control,48.96,5,72.1
692,control,60.31,6,117.5
693,control,167.35,7,86.8
694,control,106.96,8,135.9
695,control,7.94,9,89.7
696,control,217.35,10,179.0
697,control,169.58,11,68.2
698,control,57.87,12,164.1
699,control,227.79,13,252.8
700,control,194.33,14,89.6
701,control,121.44,1,127.3
702,control,158.65,2,107.0
703,control,33.99,3,141.8
704,control,150.67,4,349.8
705,control,233.63,5,157.4
706,control,17.75,6,192.9
707,control,145.61,7,236.6
708,control,92.39,8,82.7
709,control,63.02,9,277.3
710,control,207.78,10,102.4
711,control,155.07,11,145.1
712,control,205.52,12,171.6
713,control,152.41,13,248.8
714,control,149.88,14,107.5
715,control,112.96,1,217.2
716,control,0,2,90.2
717,control,165.71,3,285.1
718,control,27.21,4,184.4
719,control,75.41,5,208.4
720,control,127.15,6,225.4
721,control,141.24,7,209.2
722,control,250.13,8,142.7
723,control,196.18,9,224.6
724,control,281.7,10,146.2
725,control,65.59,11,140.3
726,control,147.77,12,211.9
727,control,25.43,13,303.5
728,control,170.19,14,65.8
729,control,148.56,1,120.5
730,control,229.38,2,161.4
731,control,213.53,3,61.7
732,control,0,4,106.5
733,control,138.48,5,278.4
734,control,0,6,120.5
735,control,275.43,7,181.8
736,control,37.22,8,211.2
737,control,204.51,9,113.4
738,control,137.0,10,126.1
739,control,45.25,11,200.1
740,control,87.2,12,307.4
741,control,107.92,13,135.2
742,control,165.28,14,218.4
743,control,137.03,1,116.6
744,control,106.97,2,175.8
745,control,119.12,3,101.1
746,control,49.41,4,187.4
747,control,151.81,5,259.5
748,control,12.06,6,161.8
749,control,268.89,7,79.8
750,control,21.02,8,137.6
751,control,165.65,9,312.6
752,control,0,10,159.7
753,control,57.98,11,215.9
754,control,0,12,241.5
755,control,76.26,13,168.8
756,control,75.68,14,284.9
757,control,145.86,1,164.5
758,control,63.15,2,184.5
759,control,203.05,3,192.6
760,control,142.51,4,101.9
761,control,83.38,5,171.6
762,control,195.08,6,180.5
763,control,202.15,7,223.7
764,control,81.14,8,165.6
765,control,92.21,9,35.9
766,control,15.58,10,196.1
767,control,66.84,11,290.6
768,control,54.06,12,161.2
769,control,49.58,13,99.2
770,control,209.99,14,230.0
771,control,318.41,1,165.9
772,control,72.71,2,225.4
773,control,106.95,3,221.8
774,control,0,4,203.5
775,control,94.49,5,134.9
776,control,120.46,6,268.8
777,control,148.05,7,163.2
778,control,216.79,8,161.9
779,control,62.05,9,58.6
780,control,142.24,10,167.8
781,control,225.65,11,119.3
782,control,62.67,12,195.8
783,control,190.78,13,164.5
784,control,93.93,14,202.4
785,control,280.29,1,234.2
786,control,82.69,2,185.8
787,control,34.6,3,174.0
788,control,102.48,4,65.9
789,control,34.64,5,155.0
790,control,15.49,6,195.1
791,control,57.98,7,241.1
792,control,249.32,8,209.3
793,control,74.06,9,151.4
794,control,36.53,10,59.5
795,control,133.69,11,98.5
796,control,95.07,12,113.7
797,control,156.73,13,152.6
798,control,180.19,14,87.0
799,control,0,1,267.8
800,control,61.13,2,191.1
801,control,269.08,3,329.7
802,control,93.31,4,126.7
803,control,168.12,5,204.6
804,control,0,6,260.4
805,control,61.83,7,135.4
806,control,147.27,8,156.4
807,control,87.94,9,136.9
808,control,153.71,10,262.2
809,control,50.22,11,271.2
810,control,192.33,12,201.3
811,control,17.49,13,178.0
812,control,140.04,14,114.0
813,control,108.21,1,165.4
814,control,123.32,2,243.6
815,control,147.06,3,196.3
816,control,19.43,4,77.2
817,control,57.87,5,168.7
818,control,17.46,6,228.3
819,control,60.61,7,237.5
820,control,32.38,8,255.6
821,control,77.34,9,208.0
822,control,150.39,10,234.3
823,control,106.89,11,182.5
824,control,0,12,89.9
825,control,164.8,13,167.2
826,control,73.58,14,297.9
827,control,185.97,1,189.4
828,control,0,2,272.5
829,control,126.24,3,122.6
830,control,0,4,208.6
831,control,139.07,5,294.5
832,control,79.81,6,207.7
833,control,115.62,7,163.9
834,control,214.29,8,152.6
835,control,15.27,9,221.5
836,control,31.42,10,237.8
837,control,83.8,11,48.7
838,control,74.93,12,121.3
839,control,92.62,13,214.2
840,control,252.34,14,96.8
841,control,11.76,1,146.0
842,control,1.71,2,132.5
843,control,103.06,3,210.9
844,control,39.61,4,207.1
845,control,0,5,181.4
846,control,31.16,6,237.3
847,control,54.11,7,93.4
848,control,162.57,8,134.7
849,control,153.27,9,233.8
850,control,37.31,10,310.5
851,control,137.23,11,131.3
852,control,70.76,12,162.4
853,control,126.22,13,188.4
854,control,86.44,14,138.8
855,control,1.86,1,158.7
856,control,167.9,2,171.8
857,control,149.29,3,43.7
858,control,53.47,4,229.3
859,control,178.83,5,200.7
860,control,142.57,6,65.3
861,control,102.79,7,176.2
862,control,37.89,8,214.9
863,control,232.34,9,184.7
864,control,151.75,10,149.5
865,control,96.08,11,224.4
866,control,202.17,12,317.4
867,control,20.72,13,246.3
868,control,151.29,14,97.0
869,control,0,1,193.2
870,control,66.35,2,141.1
871,control,0,3,148.6
872,control,234.0,4,196.7
873,control,100.13,5,182.7
874,control,177.05,6,157.8
875,control,170.14,7,134.1
876,control,43.28,8,202.1
877,control,66.41,9,265.1
878,control,263.65,10,179.6
879,control,257.07,11,142.3
880,control,119.93,12,251.8
881,control,32.21,13,167.5
882,control,121.78,14,284.0
883,control,92.89,1,122.6
884,control,192.41,2,109.5
885,control,134.74,3,255.6
886,control,90.06,4,253.5
887,control,289.71,5,265.0
888,control,102.55,6,116.4
889,control,90.4,7,133.3
890,control,223.77,8,179.6
891,control,0,9,10
892,control,62.6,10,205.6
893,control,81.35,11,174.3
894,control,195.32,12,187.1
895,control,160.42,13,271.9
896,control,27.73,14,233.6
897,control,222.54,1,220.9
898,control,79.58,2,284.5
899,control,0,3,99.6
900,control,74.88,4,133.0
901,control,77.09,5,110.6
902,control,142.65,6,146.0
903,control,194.85,7,122.3
904,control,23.21,8,155.8
905,control,111.41,9,159.1
906,control,17.71,10,136.7
907,control,188.82,11,117.4
908,control,194.23,12,174.0
909,control,172.26,13,213.6
910,control,121.08,14,173.2
911,control,209.62,1,137.7
912,control,12.68,2,418.3
913,control,0,3,128.1
914,control,0,4,212.7
915,control,226.0,5,188.7
916,control,30.52,6,83.7
917,control,90.01,7,131.6
918,control,133.98,8,272.6
919,control,111.86,9,239.8
920,control,103.62,10,204.1
921,control,149.47,11,197.9
922,control,73.62,12,146.0
923,control,159.2,13,208.2
924,control,25.35,14,107.7
925,control,0,1,155.1
926,control,50.64,2,240.2
927,control,153.39,3,88.7
928,control,7.93,4,155.4
929,control,31.22,5,138.3
930,control,0,6,240.7
931,control,104.39,7,275.0
932,control,161.29,8,104.6
933,control,51.07,9,240.8
934,control,204.97,10,108.2
935,control,140.23,11,213.5
936,control,116.29,12,124.6
937,control,3.23,13,162.9
938,control,166.51,14,209.0
939,control,117.96,1,161.4
940,control,75.26,2,195.9
941,control,64.92,3,116.7
942,control,9.88,4,125.9
943,control,106.25,5,231.1
944,control,33.4,6,191.9
945,control,74.33,7,136.7
946,control,68.48,8,200.5
947,control,105.63,9,222.3
948,control,123.55,10,142.0
949,control,0,11,214.7
950,control,97.46,12,72.3
951,control,18.69,13,175.9
952,control,15.15,14,140.8
953,control,46.06,1,41.3
954,control,129.56,2,248.3
955,control,123.7,3,103.6
956,control,129.75,4,244.8
957,control,176.98,5,154.2
958,control,21.14,6,174.5
959,control,112.89,7,114.7
960,control,48.11,8,148.8
961,control,48.05,9,185.0
962,control,150.89,10,257.9
963,control,81.7,11,146.4
964,control,104.95,12,203.5
965,control,99.65,13,181.2
966,control,195.72,14,256.7
967,control,116.15,1,186.1
968,control,191.46,2,123.2
969,control,108.12,3,118.5
970,control,135.36,4,312.5
971,control,260.9,5,280.4
972,control,88.58,6,219.8
973,control,26.52,7,190.5
974,control,161.96,8,255.9
975,control,48.07,9,231.0
976,control,203.92,10,102.2
977,control,15.02,11,221.4
978,control,40.86,12,128.1
979,control,99.75,13,295.3
980,control,136.82,14,10
981,control,185.33,1,213.5
982,control,230.88,2,158.0
983,control,62.67,3,37.3
984,control,186.01,4,186.4
985,control,238.29,5,212.7
986,control,205.26,6,152.0
987,control,92.24,7,221.5
988,control,254.79,8,117.0
989,control,63.77,9,231.5
990,control,10.96,10,237.7
991,control,0,11,154.0
992,control,88.75,12,174.1
993,control,123.76,13,134.0
994,control,130.6,14,154.8
995,control,0,1,120.6
996,control,0,2,167.4
997,control,110.62,3,105.0
998,control,0,4,154.7
999,control,80.67,5,222.1
1000,control,90.8,6,190.6
1001,control,252.58,7,109.0
1002,control,66.43,8,168.7
1003,control,186.06,9,235.6
1004,control,115.41,10,265.4
1005,control,158.34,11,225.5
1006,control,154.16,12,72.7
1007,control,109.54,13,398.7
1008,control,209.11,14,171.2
1009,control,113.14,1,170.9
1010,control,105.14,2,282.4
